file,code
activity,e800
bell,e801
book,e802
brackets,e803
branch,e804
branch-add,e805
camera,e806
check-disc,e807
clock,e808
cloud,e809
cloud-upload,e80a
cog,e80b
comment,e80c
copy,e80d
credit-card,e80e
down,e80f
down-disc,e810
down-large,e811
file,e812
flag,e813
folder,e814
folder-download,e815
folder-open,e816
folder-shared,e817
folder-z,e818
github,e819
grip,e81a
home,e81b
key,e81c
letter,e81d
link,e81e
loading,e81f
loading-double,e820
locked,e821
marker,e822
merge,e823
minus-disc,e824
more,e825
next,e826
next-disc,e827
nodes,e828
parent,e829
pause-disc,e82a
play-disc,e82b
plus-disc,e82c
power,e82d
previous,e82e
previous-disc,e82f
question-disc,e830
remove,e831
remove-disc,e832
rss,e833
search,e834
star,e835
tag,e836
target,e837
terminal,e838
twitter,e839
up,e83a
up-disc,e83b
user,e83c
users,e83d
view,e83e
webhook,e83f
